"filename", "language", "pip requirements", "PostCSS", "JavaScript", "HTML", "Python", "comment", "blank", "total"
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\admin.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 20, 1, 7, 28
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\migrations\0002_remove_album_imagen.py", "Python", 0, 0, 0, 0, 11, 1, 6, 18
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\models.py", "Python", 0, 0, 0, 0, 8, 1, 3, 12
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\serializers.py", "Python", 0, 0, 0, 0, 18, 3, 4, 25
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\urls.py", "Python", 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\albumes\views.py", "Python", 0, 0, 0, 0, 48, 1, 12, 61
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\backend\asgi.py", "Python", 0, 0, 0, 0, 4, 8, 5, 17
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\backend\settings.py", "Python", 0, 0, 0, 0, 100, 16, 34, 150
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\backend\urls.py", "Python", 0, 0, 0, 0, 18, 0, 2, 20
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\backend\wsgi.py", "Python", 0, 0, 0, 0, 4, 8, 5, 17
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\admin.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 23, 1, 7, 31
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\models.py", "Python", 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\urls.py", "Python", 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\utilidades\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\utilidades\utilidades.py", "Python", 0, 0, 0, 0, 14, 1, 1, 16
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\contactos\views.py", "Python", 0, 0, 0, 0, 33, 10, 4, 47
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\dashboard\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\dashboard\admin.py", "Python", 0, 0, 0, 0, 3, 1, 3, 7
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\dashboard\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\dashboard\models.py", "Python", 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\dashboard\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\dashboard\urls.py", "Python", 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\dashboard\views.py", "Python", 0, 0, 0, 0, 57, 1, 10, 68
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\admin.py", "Python", 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 16, 1, 7, 24
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\migrations\0002_alter_exposicion_options_alter_exposicion_table.py", "Python", 0, 0, 0, 0, 15, 1, 6, 22
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\migrations\0003_alter_exposicion_options_remove_exposicion_nombre_and_more.py", "Python", 0, 0, 0, 0, 48, 1, 6, 55
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\models.py", "Python", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\serializers.py", "Python", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\urls.py", "Python", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\exposiciones\views.py", "Python", 0, 0, 0, 0, 67, 1, 15, 83
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\fotos\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\fotos\admin.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\fotos\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\fotos\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 22, 1, 7, 30
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\fotos\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\fotos\models.py", "Python", 0, 0, 0, 0, 10, 1, 3, 14
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\fotos\serializers.py", "Python", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\fotos\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\fotos\urls.py", "Python", 0, 0, 0, 0, 10, 0, 2, 12
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\fotos\views.py", "Python", 0, 0, 0, 0, 53, 8, 9, 70
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\admin.py", "Python", 0, 0, 0, 0, 3, 1, 2, 6
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 18, 1, 7, 26
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\migrations\0002_rename_categoria_inventario.py", "Python", 0, 0, 0, 0, 11, 1, 6, 18
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\migrations\0003_inventario_descripcion_alter_inventario_cantidad.py", "Python", 0, 0, 0, 0, 17, 1, 6, 24
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\migrations\0004_alter_inventario_cantidad.py", "Python", 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\migrations\0005_alter_inventario_imagen.py", "Python", 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\migrations\0006_alter_inventario_imagen.py", "Python", 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\migrations\0007_inventario_exposicion.py", "Python", 0, 0, 0, 0, 14, 1, 6, 21
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\migrations\0008_inventario_creado_por.py", "Python", 0, 0, 0, 0, 14, 1, 6, 21
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\models.py", "Python", 0, 0, 0, 0, 18, 1, 4, 23
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\inventario\serializers.py", "Python", 0, 0, 0, 0, 10, 1, 2, 13
